fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
37,"13,2",20,none,none,0.0329334918392765,1.0,0.15213756847079127,0.2923846702077931
3,"6,6",15,none,none,0.6383817309768913,1.0,0.24619082768321102,1.0
15,"7,5",20,none,none,0.020874078769236894,1.0,0.09381109209035833,0.12025700061245172
39,"13,2",10,C=O,none,0.0588845675823811,1.0,0.19250119767633708,0.5074584473359338
30,"13,1",10,none,1Ti_surface,0.021390084827488106,1.0,0.09409710003713055,0.18961398916731637
2,"6,6",13,none,none,0.6173338157981232,1.0,0.2651128050194512,1.0
4,"6,6",20,none,none,0.7071966874095611,1.0,0.2169387864692928,1.0
11,"6,6",10,none,2Ti_substitution,0.09340679365489264,1.0,0.2399843405094091,0.7807787668201167
43,"13,2",10,none,2Ti_surface,0.07837490918697522,1.0,0.1958028380579545,0.6499566459007751
6,"6,6",10,C=O,none,0.0521924755677226,1.0,0.0903572884171145,0.18886715498558163
42,"13,2",10,none,1Ti_substitution,0.028527675711096937,1.0,0.10114819537043078,0.2406296078023688
30,"13,1",10,none,1Ti_surface,0.02179769302594946,1.0,0.0944190995650331,0.19340309527842434
39,"13,2",10,C=O,none,0.05780347166431667,1.0,0.19146300591150103,0.4960732374656594
1,"6,6",10,none,none,0.6335286523626158,1.0,0.28158902784702466,1.0
27,"13,1",10,SO3H,none,0.061962793015706515,1.0,0.18583977730675233,0.5165382922587469
40,"13,2",10,NH2,none,0.021075638967096272,1.0,0.09010632855587226,0.18486094009762852
28,"13,1",10,C=O,none,0.05545930372693263,1.0,0.19214090999615738,0.47348391864440653
12,"7,5",10,none,none,0.6399309646703032,1.0,0.2680119376473516,0.9671380946952324
7,"6,6",10,NH2,none,0.010297641090542526,1.0,0.08507389239365341,0.09206795327740534
35,"13,2",13,none,none,0.04707052998884638,1.0,0.17851197928674703,0.3976424457776569
24,"13,1",13,none,none,0.05036677158389283,1.0,0.17590651608542873,0.399226920493918
39,"13,2",10,C=O,none,0.06004896181305805,1.0,0.1954111558118891,0.5148614939806263
24,"13,1",13,none,none,0.048813395011468114,1.0,0.17819962766711867,0.40406351900365295
42,"13,2",10,none,1Ti_substitution,0.02893717951538057,1.0,0.10172851199920531,0.24292953619972418
16,"7,5",10,SO3H,none,0.030206561039366003,1.0,0.10761042515636857,0.22670829818587088
9,"6,6",10,none,1Ti_substitution,0.056612232665245364,1.0,0.17868160522356094,0.517117854826837
38,"13,2",10,SO3H,none,0.07466040391829282,1.0,0.20656282597579215,0.6149373739047307
7,"6,6",10,NH2,none,0.009803842557534501,1.0,0.08512734976475944,0.0918588744522171
35,"13,2",13,none,none,0.048024422759390374,1.0,0.17916037472437865,0.399536290929272
37,"13,2",20,none,none,0.03299132026931817,1.0,0.15137941897958224,0.29145171770456696
4,"6,6",20,none,none,0.6467477438559494,1.0,0.2194670590050862,1.0
12,"7,5",10,none,none,0.6469779282697072,1.0,0.27098283915409094,0.9713074042100169
17,"7,5",10,C=O,none,0.04296399137997155,1.0,0.09271703812811692,0.18466328246598293
44,"13,2",10,none,2Ti_substitution,0.028611789685108416,1.0,0.11589948650648665,0.2669973215033728
42,"13,2",10,none,1Ti_substitution,0.027583870788068513,1.0,0.09855860839958377,0.23119412619107613
14,"7,5",15,none,none,0.017570199758060095,1.0,0.10665181435024931,0.1507959009352705
25,"13,1",15,none,none,0.041257832007897684,1.0,0.16647123033147881,0.351024400192568
13,"7,5",13,none,none,0.032331020540543584,1.0,0.11131026663356035,0.1648346208305647
40,"13,2",10,NH2,none,0.021946613794345787,1.0,0.09243982097128736,0.19468574220008716
31,"13,1",10,none,1Ti_substitution,0.09653154924084523,1.0,0.2199157177238592,0.7278612203255234
4,"6,6",20,none,none,0.6266939957436997,1.0,0.22113219405191945,1.0
43,"13,2",10,none,2Ti_surface,0.08233829032432911,1.0,0.19819817602082718,0.6661599002010973
11,"6,6",10,none,2Ti_substitution,0.08991157255824336,1.0,0.23543218958097897,0.7633785453359792
25,"13,1",15,none,none,0.04211227977399445,1.0,0.1655072229402317,0.3492658153204722
42,"13,2",10,none,1Ti_substitution,0.027559729077561632,1.0,0.09838812348217436,0.23056697416319785
17,"7,5",10,C=O,none,0.09250444625359205,1.0,0.09442935926187974,0.23893631036600751
36,"13,2",15,none,none,0.042781046261418584,1.0,0.1681463546579774,0.35170742013947787
12,"7,5",10,none,none,0.665426809314068,1.0,0.26983725764617544,0.9784931153353537
35,"13,2",13,none,none,0.04589487308694114,1.0,0.17681444690491366,0.3945608207298944
5,"6,6",10,SO3H,none,0.024410066315154494,1.0,0.10956965675640935,0.22629302170419408
30,"13,1",10,none,1Ti_surface,0.021738131131582336,1.0,0.09420163831732892,0.19296087470359038
32,"13,1",10,none,2Ti_surface,0.06108378937523386,1.0,0.1811604497483005,0.4915187759214603
16,"7,5",10,SO3H,none,0.030870052571639602,1.0,0.10748937734902199,0.22652894003256333
4,"6,6",20,none,none,0.5936454358682197,1.0,0.2251262409756122,1.0
19,"7,5",10,none,1Ti_surface,0.04366676465071467,1.0,0.15042636760406408,0.3133767860676026
26,"13,1",20,none,none,0.03233912419713081,1.0,0.15240466342395553,0.2938048843830596
5,"6,6",10,SO3H,none,0.024364244666030956,1.0,0.11184380912444351,0.23273604311321305
24,"13,1",13,none,none,0.04772675948419708,1.0,0.17808499527623906,0.4034847287320029
7,"6,6",10,NH2,none,0.010234864180298517,1.0,0.08509189440045249,0.0928319099994593
8,"6,6",10,none,1Ti_surface,0.01439380060968644,1.0,0.08571503926054752,0.10670633323495829
41,"13,2",10,none,1Ti_surface,0.019035907655053946,1.0,0.09173224249471543,0.1684933413508413
11,"6,6",10,none,2Ti_substitution,0.087625038935646,1.0,0.2315520078478779,0.7469702565525781
4,"6,6",20,none,none,0.5739612126277148,1.0,0.23015984731803654,1.0
32,"13,1",10,none,2Ti_surface,0.0620496717284851,1.0,0.18534007696064603,0.5034665459190384
