File ID,Temperature (K),G,Pressure (bar),theta
9,500,0.010396,3,0.702101
9,500,0.010396,4,0.758597
9,500,0.010396,5,0.797081
9,600,0.012441,1,0.440131
9,600,0.012441,2,0.611238
9,600,0.012441,3,0.702239
9,600,0.012441,4,0.758718
9,600,0.012441,5,0.797188
9,700,0.014412,1,0.44055
9,700,0.014412,2,0.611642
9,700,0.014412,3,0.702594
9,700,0.014412,4,0.759029
9,700,0.014412,5,0.797462
10,77,0.000508,1,0.480869
10,77,0.000508,2,0.649441
10,77,0.000508,3,0.735372
10,77,0.000508,4,0.787468
10,77,0.000508,5,0.822427
10,100,0.001106,1,0.467956
10,100,0.001106,2,0.637562
10,100,0.001106,3,0.725172
10,100,0.001106,4,0.778672
10,100,0.001106,5,0.814737
10,273,0.005455,1,0.442287
10,273,0.005455,2,0.613313
10,273,0.005455,3,0.704064
10,273,0.005455,4,0.760315
10,273,0.005455,5,0.798597
10,298.15,0.006052,1,0.44138
10,298.15,0.006052,2,0.612441
10,298.15,0.006052,3,0.703297
10,298.15,0.006052,4,0.759644
10,298.15,0.006052,5,0.798005
10,400,0.008386,1,0.439474
10,400,0.008386,2,0.610603
10,400,0.008386,3,0.701681
10,400,0.008386,4,0.758229
10,400,0.008386,5,0.796756
10,500,0.010571,1,0.438968
10,500,0.010571,2,0.610115
10,500,0.010571,3,0.701251
10,500,0.010571,4,0.757853
10,500,0.010571,5,0.796423
10,600,0.012665,1,0.439064
10,600,0.012665,2,0.610208
10,600,0.012665,3,0.701332
10,600,0.012665,4,0.757924
10,600,0.012665,5,0.796486
10,700,0.014686,1,0.439431
10,700,0.014686,2,0.610562
10,700,0.014686,3,0.701644
10,700,0.014686,4,0.758197
10,700,0.014686,5,0.796728
11,77,0.000572,1,0.478461
11,77,0.000572,2,0.647242
11,77,0.000572,3,0.73349
11,77,0.000572,4,0.785849
11,77,0.000572,5,0.821014
11,100,0.001304,1,0.46224
11,100,0.001304,2,0.632235
11,100,0.001304,3,0.720569
11,100,0.001304,4,0.774686
11,100,0.001304,5,0.811243
11,273,0.007076,1,0.425363
